regularization,reg_only_weights,l1_lambda,l2_lambda,weight_decay,valid_acc,test_acc
l2_weight_decay,False,0.0,0.0,1e-05,0.7688073394495413,0.812
l2_weight_decay,False,0.0,0.0,0.0001,0.7660550458715596,0.812
l2_weight_decay,True,0.0,0.0,1e-05,0.7385321100917431,0.822
l2_weight_decay,True,0.0,0.0,0.001,0.7311926605504587,0.768
l2_weight_decay,True,0.0,0.0,0.0001,0.718348623853211,0.822
l2_weight_decay,False,0.0,0.0,0.001,0.6935779816513762,0.776
l2_weight_decay,True,0.0,0.0,0.01,0.6146788990825688,0.71
l2_weight_decay,False,0.0,0.0,0.01,0.5651376146788991,0.658
l2_weight_decay,True,0.0,0.0,0.1,0.2110091743119266,0.13
l2_weight_decay,False,0.0,0.0,0.1,0.2110091743119266,0.13
l2,True,0.0,2e-05,0.0,0.8027522935779816,0.854
l2,False,0.0,0.0002,0.0,0.7853211009174312,0.844
l2,False,0.0,0.0001,0.0,0.7807339449541284,0.85
l2,True,0.0,0.0001,0.0,0.773394495412844,0.87
l2,False,0.0,0.001,0.0,0.7688073394495413,0.826
l2,True,0.0,0.0002,0.0,0.7440366972477064,0.82
l2,False,0.0,2e-05,0.0,0.7238532110091743,0.8
l2,False,0.0,1e-05,0.0,0.7146788990825688,0.8
l2,True,0.0,0.002,0.0,0.708256880733945,0.768
l2,True,0.0,1e-05,0.0,0.7073394495412844,0.804
l2,True,0.0,0.001,0.0,0.7036697247706422,0.766
l2,False,0.0,0.01,0.0,0.6467889908256881,0.766
l2,False,0.0,0.002,0.0,0.5697247706422018,0.696
l2,True,0.0,0.01,0.0,0.5146788990825688,0.626
l2,True,0.0,0.02,0.0,0.4752293577981651,0.574
l2,False,0.0,0.02,0.0,0.4449541284403669,0.5
l2,True,0.0,4.0,0.0,0.2110091743119266,0.13
l2,True,0.0,2.0,0.0,0.2110091743119266,0.13
l2,True,0.0,1.0,0.0,0.2110091743119266,0.13
l2,True,0.0,0.2,0.0,0.2110091743119266,0.13
l2,True,0.0,0.1,0.0,0.2110091743119266,0.13
