optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l1_lambda,l2_lambda,weight_decay,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.0002,16,190,,,0,0,0,0.8770642201834863,0.904
<class 'torch.optim.adam.Adam'>,0.0002,16,140,,,0,0,0,0.8761467889908257,0.902
<class 'torch.optim.adam.Adam'>,0.0005,16,170,,,0,0,0,0.8761467889908257,0.884
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,,,0,0,0,0.8761467889908257,0.888
<class 'torch.optim.adamw.AdamW'>,0.0005,32,190,,,0,0,0,0.8743119266055046,0.886
<class 'torch.optim.adam.Adam'>,0.0005,32,170,,,0,0,0,0.8733944954128441,0.9
<class 'torch.optim.adam.Adam'>,0.0002,16,200,,,0,0,0,0.8733944954128441,0.914
<class 'torch.optim.adamw.AdamW'>,0.0002,16,140,,,0,0,0,0.8733944954128441,0.892
<class 'torch.optim.adam.Adam'>,0.0005,32,210,,,0,0,0,0.8733944954128441,0.884
<class 'torch.optim.adamw.AdamW'>,0.0005,32,160,,,0,0,0,0.8724770642201835,0.898
<class 'torch.optim.adam.Adam'>,0.0005,16,190,,,0,0,0,0.8724770642201835,0.9
<class 'torch.optim.adamw.AdamW'>,0.0002,16,170,,,0,0,0,0.8715596330275229,0.88
<class 'torch.optim.adamw.AdamW'>,0.0005,64,210,,,0,0,0,0.8706422018348624,0.898
<class 'torch.optim.adamw.AdamW'>,0.0002,16,220,,,0,0,0,0.8706422018348624,0.88
<class 'torch.optim.adam.Adam'>,0.0002,32,200,,,0,0,0,0.8706422018348624,0.89
<class 'torch.optim.adam.Adam'>,0.0002,16,170,,,0,0,0,0.8706422018348624,0.886
<class 'torch.optim.adamw.AdamW'>,0.0002,16,300,,,0,0,0,0.8706422018348624,0.876
<class 'torch.optim.adamw.AdamW'>,0.0005,64,230,,,0,0,0,0.8697247706422019,0.894
<class 'torch.optim.adam.Adam'>,0.0002,16,240,,,0,0,0,0.8697247706422019,0.886
<class 'torch.optim.adamw.AdamW'>,0.0002,16,150,,,0,0,0,0.8697247706422019,0.882
<class 'torch.optim.adamw.AdamW'>,0.0005,16,190,,,0,0,0,0.8697247706422019,0.888
<class 'torch.optim.adam.Adam'>,0.0002,16,128,,,0,0,0,0.8697247706422019,0.872
<class 'torch.optim.adamw.AdamW'>,0.0005,32,170,,,0,0,0,0.8697247706422019,0.884
<class 'torch.optim.adamw.AdamW'>,0.0002,32,190,,,0,0,0,0.8697247706422019,0.884
<class 'torch.optim.adam.Adam'>,0.0002,32,250,,,0,0,0,0.8697247706422019,0.89
<class 'torch.optim.adamw.AdamW'>,0.0005,16,100,,,0,0,0,0.8697247706422019,0.868
<class 'torch.optim.adamw.AdamW'>,0.0005,64,250,,,0,0,0,0.8697247706422019,0.896
<class 'torch.optim.adamw.AdamW'>,0.0005,32,240,,,0,0,0,0.8688073394495412,0.878
<class 'torch.optim.adam.Adam'>,0.0005,16,210,,,0,0,0,0.8688073394495412,0.87
<class 'torch.optim.adam.Adam'>,0.0001,16,250,,,0,0,0,0.8688073394495412,0.87
<class 'torch.optim.adamw.AdamW'>,0.0005,32,70,,,0,0,0,0.8688073394495412,0.886
<class 'torch.optim.adam.Adam'>,0.0002,16,250,,,0,0,0,0.8688073394495412,0.88
<class 'torch.optim.adamw.AdamW'>,0.0002,32,90,,,0,0,0,0.8688073394495412,0.87
<class 'torch.optim.adam.Adam'>,0.0002,16,300,,,0,0,0,0.8678899082568807,0.898
<class 'torch.optim.adam.Adam'>,0.0005,64,170,,,0,0,0,0.8678899082568807,0.894
<class 'torch.optim.adamw.AdamW'>,0.0002,32,230,,,0,0,0,0.8678899082568807,0.896
<class 'torch.optim.adamw.AdamW'>,0.0005,16,70,,,0,0,0,0.8678899082568807,0.878
<class 'torch.optim.adam.Adam'>,0.0002,16,150,,,0,0,0,0.8678899082568807,0.862
<class 'torch.optim.adamw.AdamW'>,0.0002,32,250,,,0,0,0,0.8678899082568807,0.888
<class 'torch.optim.adam.Adam'>,0.0002,32,90,,,0,0,0,0.8669724770642202,0.874
<class 'torch.optim.adamw.AdamW'>,0.0001,16,250,,,0,0,0,0.8669724770642202,0.89
<class 'torch.optim.adamw.AdamW'>,0.0002,16,100,,,0,0,0,0.8669724770642202,0.854
<class 'torch.optim.adamw.AdamW'>,0.0002,16,250,,,0,0,0,0.8660550458715597,0.896
<class 'torch.optim.adamw.AdamW'>,0.001,64,120,,,0,0,0,0.8660550458715597,0.876
<class 'torch.optim.adamw.AdamW'>,0.0005,64,128,,,0,0,0,0.8660550458715597,0.882
<class 'torch.optim.adam.Adam'>,0.0005,32,120,,,0,0,0,0.8660550458715597,0.878
<class 'torch.optim.adamw.AdamW'>,0.0005,64,90,,,0,0,0,0.8660550458715597,0.882
<class 'torch.optim.adam.Adam'>,0.0002,16,230,,,0,0,0,0.865137614678899,0.904
<class 'torch.optim.adam.Adam'>,0.0005,32,240,,,0,0,0,0.865137614678899,0.882
<class 'torch.optim.adam.Adam'>,0.0002,16,220,,,0,0,0,0.865137614678899,0.87
<class 'torch.optim.adamw.AdamW'>,0.001,16,140,,,0,0,0,0.865137614678899,0.894
<class 'torch.optim.adam.Adam'>,0.0005,32,230,,,0,0,0,0.865137614678899,0.894
<class 'torch.optim.adam.Adam'>,0.0002,64,200,,,0,0,0,0.8642201834862385,0.878
<class 'torch.optim.adam.Adam'>,0.0002,64,190,,,0,0,0,0.8642201834862385,0.902
