optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l2_lambda,use_pretrained_word2vec,embed_dim,output_mode,key_value_proj_dim,rnn,add_component,multi_output_layers,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.001,16,128,,,0,True,300,,,GRU,False,,0.8908256880733945,0.906
<class 'torch.optim.adam.Adam'>,0.0005,16,200,,,0,True,300,,,GRU,False,,0.8908256880733945,0.9
<class 'torch.optim.adam.Adam'>,0.001,16,190,,,0,True,300,,,GRU,True,True,0.8880733944954129,0.904
<class 'torch.optim.adam.Adam'>,0.0005,16,190,,,0,True,300,,,GRU,True,False,0.8871559633027523,0.892
<class 'torch.optim.adam.Adam'>,0.001,16,150,,,0,True,300,,,GRU,True,False,0.8871559633027523,0.894
<class 'torch.optim.adam.Adam'>,0.001,16,170,,,0,True,300,,,GRU,False,,0.8862385321100917,0.9
<class 'torch.optim.adam.Adam'>,0.001,16,190,,,0,True,300,,,GRU,True,False,0.8853211009174312,0.904
<class 'torch.optim.adam.Adam'>,0.0002,16,150,,,0,True,300,,,GRU,True,False,0.8844036697247707,0.906
<class 'torch.optim.adam.Adam'>,0.001,16,170,,,0,True,300,,,GRU,True,False,0.8844036697247707,0.9
<class 'torch.optim.adam.Adam'>,0.001,16,128,,,0,True,300,,,GRU,True,False,0.8834862385321101,0.912
<class 'torch.optim.adam.Adam'>,0.001,64,200,,,0,True,300,,,GRU,False,,0.8834862385321101,0.886
<class 'torch.optim.adam.Adam'>,0.001,16,190,,,0,True,300,,,GRU,False,,0.8825688073394495,0.878
<class 'torch.optim.adam.Adam'>,0.001,16,200,,,0,True,300,,,GRU,True,False,0.8825688073394495,0.896
<class 'torch.optim.adam.Adam'>,0.0005,32,128,,,0,True,300,,,GRU,True,False,0.881651376146789,0.908
<class 'torch.optim.adam.Adam'>,0.0005,16,170,,,0,True,300,,,GRU,False,,0.881651376146789,0.896
<class 'torch.optim.adam.Adam'>,0.001,16,150,,,0,True,300,,,GRU,False,,0.8807339449541285,0.904
<class 'torch.optim.adam.Adam'>,0.001,64,128,,,0,True,300,,,GRU,True,False,0.8798165137614679,0.896
<class 'torch.optim.adam.Adam'>,0.001,32,128,,,0,True,300,,,GRU,True,False,0.8779816513761468,0.9
<class 'torch.optim.adam.Adam'>,0.0005,16,128,,,0,True,300,,,GRU,False,,0.8779816513761468,0.89
<class 'torch.optim.adam.Adam'>,0.001,64,190,,,0,True,300,,,GRU,True,False,0.8779816513761468,0.89
<class 'torch.optim.adam.Adam'>,0.0005,32,200,,,0,True,300,,,GRU,True,False,0.8770642201834863,0.9
<class 'torch.optim.adam.Adam'>,0.0005,16,128,,,0,True,300,,,GRU,True,False,0.8770642201834863,0.9
<class 'torch.optim.adam.Adam'>,0.001,32,150,,,0,True,300,,,GRU,False,,0.8761467889908257,0.9
<class 'torch.optim.adam.Adam'>,0.001,16,200,,,0,True,300,,,GRU,False,,0.8761467889908257,0.888
<class 'torch.optim.adam.Adam'>,0.001,16,128,,,0,True,300,,,GRU,True,True,0.8752293577981651,0.888
<class 'torch.optim.adam.Adam'>,0.0005,64,190,,,0,True,300,,,GRU,False,,0.8743119266055046,0.89
<class 'torch.optim.adam.Adam'>,0.001,32,190,,,0,True,300,,,GRU,True,False,0.8743119266055046,0.896
<class 'torch.optim.adam.Adam'>,0.0002,16,190,,,0,True,300,,,GRU,False,,0.8733944954128441,0.87
<class 'torch.optim.adam.Adam'>,0.0005,32,190,,,0,True,300,,,GRU,False,,0.8733944954128441,0.87
<class 'torch.optim.adam.Adam'>,0.001,32,128,,,0,True,300,,,GRU,False,,0.8733944954128441,0.882
<class 'torch.optim.adam.Adam'>,0.001,32,190,,,0,True,300,,,GRU,False,,0.8733944954128441,0.894
<class 'torch.optim.adam.Adam'>,0.001,32,200,,,0,True,300,,,GRU,False,,0.8733944954128441,0.892
<class 'torch.optim.adam.Adam'>,0.0005,32,150,,,0,True,300,,,GRU,False,,0.8724770642201835,0.878
<class 'torch.optim.adam.Adam'>,0.0005,16,170,,,0,True,300,,,GRU,True,False,0.8724770642201835,0.902
<class 'torch.optim.adam.Adam'>,0.001,16,200,,,0,True,300,,,GRU,True,True,0.8724770642201835,0.902
<class 'torch.optim.adam.Adam'>,0.0005,64,128,,,0,True,300,,,GRU,True,False,0.8724770642201835,0.896
<class 'torch.optim.adam.Adam'>,0.0005,32,150,,,0,True,300,,,GRU,True,False,0.8724770642201835,0.884
<class 'torch.optim.adam.Adam'>,0.0005,16,150,,,0,True,300,,,GRU,True,False,0.8715596330275229,0.9
<class 'torch.optim.adam.Adam'>,0.0005,16,190,,,0,True,300,,,GRU,False,,0.8715596330275229,0.882
<class 'torch.optim.adam.Adam'>,0.0005,16,150,,,0,True,300,,,GRU,False,,0.8715596330275229,0.882
<class 'torch.optim.adam.Adam'>,0.0005,32,200,,,0,True,300,,,GRU,False,,0.8706422018348624,0.886
<class 'torch.optim.adam.Adam'>,0.0002,32,128,,,0,True,300,,,GRU,False,,0.8706422018348624,0.868
<class 'torch.optim.adam.Adam'>,0.0005,32,190,,,0,True,300,,,GRU,True,False,0.8697247706422019,0.9
<class 'torch.optim.adam.Adam'>,0.001,64,200,,,0,True,300,,,GRU,True,False,0.8697247706422019,0.888
<class 'torch.optim.adam.Adam'>,0.0005,16,200,,,0,True,300,,,GRU,True,False,0.8697247706422019,0.898
<class 'torch.optim.adam.Adam'>,0.001,32,170,,,0,True,300,,,GRU,True,False,0.8688073394495412,0.91
<class 'torch.optim.adam.Adam'>,0.0005,32,170,,,0,True,300,,,GRU,False,,0.8678899082568807,0.868
<class 'torch.optim.adam.Adam'>,0.001,16,150,,,0,True,300,,,GRU,True,True,0.8678899082568807,0.884
<class 'torch.optim.adam.Adam'>,0.0002,32,190,,,0,True,300,,,GRU,False,,0.8669724770642202,0.872
<class 'torch.optim.adam.Adam'>,0.0005,64,170,,,0,True,300,,,GRU,False,,0.8669724770642202,0.874
<class 'torch.optim.adam.Adam'>,0.0005,64,200,,,0,True,300,,,GRU,True,False,0.8669724770642202,0.892
<class 'torch.optim.adam.Adam'>,0.0005,64,190,,,0,True,300,,,GRU,True,False,0.8669724770642202,0.88
