optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l2_lambda,use_pretrained_word2vec,embed_dim,output_mode,key_value_proj_dim,rnn,add_component,multi_output_layers,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.001,64,170,,,0,True,300,,,RNN,True,False,0.8871559633027523,0.908
<class 'torch.optim.adam.Adam'>,0.001,64,190,,,0,True,300,,,RNN,True,False,0.8825688073394495,0.912
<class 'torch.optim.adam.Adam'>,0.001,64,150,,,0,True,300,,,RNN,True,False,0.8798165137614679,0.896
<class 'torch.optim.adam.Adam'>,0.001,64,128,,,0,True,300,,,RNN,True,False,0.8798165137614679,0.904
<class 'torch.optim.adam.Adam'>,0.001,64,150,,,0,True,300,,,RNN,True,True,0.8788990825688073,0.888
<class 'torch.optim.adam.Adam'>,0.001,32,150,,,0,True,300,,,RNN,True,False,0.8788990825688073,0.922
<class 'torch.optim.adam.Adam'>,0.001,64,200,,,0,True,300,,,RNN,True,False,0.8779816513761468,0.934
<class 'torch.optim.adam.Adam'>,0.0002,32,150,,,0,True,300,,,RNN,True,False,0.8770642201834863,0.888
<class 'torch.optim.adam.Adam'>,0.0005,32,200,,,0,True,300,,,RNN,True,False,0.8761467889908257,0.926
<class 'torch.optim.adam.Adam'>,0.001,32,190,,,0,True,300,,,RNN,True,False,0.8761467889908257,0.912
<class 'torch.optim.adam.Adam'>,0.0005,64,200,,,0,True,300,,,RNN,True,False,0.8752293577981651,0.908
<class 'torch.optim.adam.Adam'>,0.0005,32,170,,,0,True,300,,,RNN,False,,0.8733944954128441,0.9
<class 'torch.optim.adam.Adam'>,0.001,32,170,,,0,True,300,,,RNN,True,False,0.8724770642201835,0.916
<class 'torch.optim.adam.Adam'>,0.0005,32,190,,,0,True,300,,,RNN,True,False,0.8724770642201835,0.912
<class 'torch.optim.adam.Adam'>,0.0002,32,190,,,0,True,300,,,RNN,True,False,0.8724770642201835,0.896
<class 'torch.optim.adam.Adam'>,0.0005,32,128,,,0,True,300,,,RNN,True,True,0.8715596330275229,0.88
<class 'torch.optim.adam.Adam'>,0.0002,32,200,,,0,True,300,,,RNN,True,False,0.8715596330275229,0.894
<class 'torch.optim.adam.Adam'>,0.0002,32,200,,,0,True,300,,,RNN,False,,0.8706422018348624,0.89
<class 'torch.optim.adam.Adam'>,0.0005,64,150,,,0,True,300,,,RNN,True,False,0.8706422018348624,0.91
<class 'torch.optim.adam.Adam'>,0.001,32,200,,,0,True,300,,,RNN,True,False,0.8706422018348624,0.902
<class 'torch.optim.adam.Adam'>,0.0005,64,170,,,0,True,300,,,RNN,False,,0.8678899082568807,0.894
<class 'torch.optim.adam.Adam'>,0.001,64,128,,,0,True,300,,,RNN,True,True,0.8669724770642202,0.896
<class 'torch.optim.adam.Adam'>,0.0005,32,128,,,0,True,300,,,RNN,True,False,0.8660550458715597,0.91
<class 'torch.optim.adam.Adam'>,0.0005,32,150,,,0,True,300,,,RNN,True,False,0.8660550458715597,0.892
<class 'torch.optim.adam.Adam'>,0.0005,32,170,,,0,True,300,,,RNN,True,False,0.8660550458715597,0.898
